Company,Application Date,CV Type,Company Stage,Connection's Email,Culture,Draft Directory,Link to CV,CV File Name,Letter File Name,Edit notes,Edit type,Entry Created On,Failed Pipeline Notes,Finalized PDFs,First Advertised,Gap handling,HR / Recruiter Contact,HR/Advertising Person's Email,Hiring Manager's Contact Details,Hiring Manager's Name,Hiring manager's role,JD Body,JD Fetch Status,JD proof,Job URL,Keywords,Landscape,Last Pipeline Run,Last time this entry was edited at all,Location,Manager role confirmed,Message Channel with My Connection,My Connection's phone number,"My Network Connection (Referral, Colleague, etc.)",Note,Network connection,No incumbents in this function,Person who Advertised Role (if not Hiring Manager),Position,Priority,Priority Reason,Related Emails,Relationship type,Role Type,Role emphasis,Role summary,Sent Message to Hiring Team,Sent Message to My Contact,Source,Status,Strategy,Languages,Why I Want This Role,👤 Contacts
Acme Corp,,,Series B,,"Fast-paced startup culture, remote-friendly, strong product culture.",,,,,,,"June 20, 2026 3:55 PM",,,,,,,,,,,Fetched,,,"PMM, go-to-market, positioning, competitive intel, SaaS",Competitive space with 3 main players. Acme is #2 by market share.,,"June 20, 2026 3:55 PM",Tel Aviv,Yes,,,,,,There's already at least one marketer,,Senior Product Marketing Manager,2,"High-growth company, aligned with my target positioning.",,Full time,"Leader, Scaler",Pipeline acceleration and analyst relations,Lead PMM role owning go-to-market for Acme's flagship SaaS product. Reports to VP Marketing.,No,No,,Researched,,"English, Hebrew",Strong product-led growth motion. Direct path to Head of Marketing.,
GlobalFinance Ltd,"June 18, 2026",,Public,,"Corporate but modernizing. OKR-driven, quarterly planning cycles.",,,,,,,"June 20, 2026 3:55 PM",,,,Frame the career break as deliberate upskilling in the target discipline.,,,,,,,Fetched,,,"product marketing, fintech, SMB, messaging, sales enablement, competitive",Mature category. GlobalFinance competes with two large incumbents for SMB share.,,"June 20, 2026 3:55 PM",Not specified,Yes,,,,,,There's already at least one marketer,,Director of Product Marketing,3,Referral opens door. Good for breadth of experience.,,Full time,"Scaler, Specialist","Scaler framing — inherited team, mature product",Owns product marketing for the SMB segment of a global fintech platform. Manages 2 PMMs.,No,No,Referral,Applied,,English,Strong brand name. Global exposure. Budget to execute.,
NovaTech AI,,,Series A,,"Fully remote, async-first, strong eng culture bleeding into marketing.",,,,,,,"June 20, 2026 3:55 PM",,,,,,,,,,,Manual-entry,,,"growth marketing, demand gen, funnel, PLG, AI, pipeline","Emerging category, no dominant player yet. NovaTech has early traction with 50+ enterprise customers.",,"June 20, 2026 3:55 PM",Remote (Global),No; this is only a hypothesis,,,,,,No other marketers employed,,Head of Growth Marketing,1,Dream role scope. Strong funding runway.,,Full time,"Builder, Leader",Builder framing — 0→1 demand gen infrastructure,First growth hire at an AI-native startup. Own full funnel from awareness to revenue.,No,No,,Interested,,English,Opportunity to define the category and own full-stack growth strategy.,
DataCorp,"June 15, 2026",,Series C,,Data-first culture. Analysts have a seat at the strategy table.,,,,,,,"June 20, 2026 4:00 PM",,,,,,,,,,,Fetched,,,"SQL, Python, Tableau, cohort analysis, forecasting, revenue analytics, dbt",Enterprise analytics market. DataCorp competes with warehouse-native BI tools.,,"June 20, 2026 4:00 PM",Remote (Global),Yes,,,,,,,,Senior Data Analyst,2,"Strong comp, fully remote, interesting domain.",,Full time,"Scaler, Specialist","Scaler — mature data infrastructure, large dataset","Senior IC analyst embedded in the revenue team. Owns forecasting models, cohort analysis, and executive dashboards.",No,No,Headhunter,Applied,,,Full autonomy on analytical methodology. High-visibility stakeholders.,
DesignStudio,,,Seed,,"Flat hierarchy, designers work directly with engineers and PMs.",,,,,,,"June 20, 2026 4:00 PM",,,,,,,,,,,Fetched,,,"UX, UI, Figma, user research, wireframing, prototyping","B2C mobile app space. Early traction, no dedicated designer yet.",,"June 20, 2026 4:00 PM",Tel Aviv,No; this is only a hypothesis,,,,,,,,Junior UX Designer,4,Good portfolio-building opportunity at a high-growth seed company.,,Full time,Specialist,Specialist — craft and execution focus,Entry-level UX designer joining a 10-person product team. Owns mobile app flows and conducts user interviews.,No,No,,New,,English,High ownership early in career. Direct product impact.,
EuroScale Group,"June 10, 2026",,PE-backed,,"PE discipline with startup speed. Board meets quarterly, CFO presents directly.",,,,,,,"June 20, 2026 4:00 PM",,,,,,,,,,,Manual-entry,,,"CFO, FP&A, M&A, Series D, SaaS metrics, ARR, board reporting, IFRS","Consolidated European SaaS vertical. 3 acquisitions completed, 2 more planned in 18 months.",,"June 20, 2026 4:00 PM",Not specified,Yes,,,,,,,,Chief Financial Officer,1,Offer in hand — needs decision within 2 weeks.,,Full time,"Leader, Scaler","Leader — P&L ownership, board-level reporting","CFO role for a PE-backed European SaaS group. Oversees finance across 4 subsidiaries, leads Series D prep and M&A diligence.",No,No,Referral,Applied,,,Rare opportunity to own strategic finance at scale across a multi-entity structure.,
Northwind Systems,,Detailed,N/A,,,,,,,,,"June 20, 2026 4:05 PM",,,,,,,,,,,Fetched,,,,,,"June 20, 2026 4:05 PM",Remote (Global),Yes,,,,,,There's already at least one marketer,,VP Product Marketing,2,,,Full time,"Leader, N/A",,"Leads product marketing for an enterprise data platform. Owns positioning, analyst relations, and a team of four.",,,Websites,Needs Research,Strategic,English,,
Beacon Health,"June 19, 2026",Brief,Series C,,,,,,,,,"June 20, 2026 4:05 PM",,,,,,,,,,,Fetched,,,,,,"June 20, 2026 4:05 PM",Tel Aviv,Yes,,,,,,No other marketers employed,,Product Marketing Lead,1,,,Full time,"Builder, Leader",,"First product marketing hire at a clinical workflow company. Owns launch, messaging, and enablement end to end.",,,Referral,CV Ready for Review,Hybrid,"English, Hebrew",,
Orchard Retail,,Detailed,Public,,,,,,,Tighten the opener and cut the third proof paragraph.,Both,"June 20, 2026 4:05 PM",,,,,,,,,,,Unfetchable,,,,,,"June 20, 2026 4:05 PM",London,No; this is only a hypothesis,,,,,,Unclear,,Senior Product Marketing Manager,3,,,Full time,"Scaler, Specialist",,PMM for the merchant platform at a listed retail-tech group. Partners with product on launches and competitive positioning.,,,LinkedIn - DM,Needs Editing,IC,English,,
Lumen Freight,,Brief,Seed,,,,,,,Swap the second bullet for the logistics rollout.,CV,"June 20, 2026 4:10 PM",,,,,,,,,,,LinkedIn-blocked,,,,,,"June 20, 2026 4:10 PM",Israel Remote,Yes,,,,,,Unclear,,Product Marketing Manager,4,,,Part time,Specialist,,Part-time PMM for a freight-visibility platform. Owns launch messaging and the partner-facing collateral set.,,,WhatsApp group,Needs Editing,IC,Hebrew,,
